n,W,b,Tiempo,Metodo,nodo
7300,3800,6715,93.7677,Dinamica,2101
3900,700,4726,28.5386,Dinamica,3610
6000,2600,6460,66.4663,Dinamica,3290
400,1100,1430,0.54402,Dinamica,505
4700,8700,5702,39.2031,Dinamica,650
1900,5600,3553,9.85398,Dinamica,600
2400,6700,4159,9.40209,Dinamica,545
1000,2800,2345,3.33787,Dinamica,122
1800,5500,3424,4.86732,Dinamica,151
9900,700,7893,477.056,Dinamica,250
2200,4500,4087,12.1053,Dinamica,2403
7300,7400,6583,95.692,Dinamica,699
5300,1600,6025,48.1225,Dinamica,602
1300,6000,2945,4.1061,Dinamica,585
1100,8900,2540,3.13789,Dinamica,392
8300,6100,6838,127.748,Dinamica,2365
3700,3200,5067,24.1176,Dinamica,1386
700,7100,2255,0.897822,Dinamica,531
6200,2300,6120,70.0014,Dinamica,845
2600,7900,4002,15.0305,Dinamica,74
200,4400,1184,0.200631,Dinamica,129
1000,3300,2685,1.82861,Dinamica,1303
4200,7300,5443,31.9362,Dinamica,79
2100,4400,3566,13.0947,Dinamica,100
8900,2700,7728,316.188,Dinamica,2059
2700,4700,4098,14.0187,Dinamica,888
7100,4100,6839,92.8117,Dinamica,801
8700,9300,7759,286.777,Dinamica,1310
9200,2400,7605,354.706,Dinamica,2667
8300,1300,6816,129.795,Dinamica,1208
8400,9300,7742,246.601,Dinamica,1563
600,7900,2344,1.08079,Dinamica,403
6500,2600,6541,77.6578,Dinamica,1588
9300,7100,7667,367.744,Dinamica,276
8000,9700,7799,117.468,Dinamica,261
1300,3500,2902,3.14656,Dinamica,578
3300,3300,4939,19.3002,Dinamica,954
7500,4100,6824,100.285,Dinamica,562
8700,8700,8183,288.524,Dinamica,3556
700,6200,2150,0.887243,Dinamica,166
8900,5800,7967,318.076,Dinamica,290
4000,4500,5341,31.2499,Dinamica,247
100,1500,897,0.081233,Dinamica,96
3800,6700,4329,28.503,Dinamica,2319
3700,5200,4829,25.3012,Dinamica,213
3700,2900,5247,24.1692,Dinamica,313
5900,5400,6939,62.4974,Dinamica,1648
2900,900,4748,16.2557,Dinamica,413
2200,4300,3714,10.6248,Dinamica,939
5200,2700,6022,46.6164,Dinamica,1649
7000,900,6811,89.4131,Dinamica,227
6100,1800,6390,70.021,Dinamica,1903
2100,500,3379,11.901,Dinamica,436
9200,1200,7631,357.299,Dinamica,2047
9300,4200,7646,370.052,Dinamica,334
6000,5800,6405,67.104,Dinamica,796
4200,7600,5516,31.4112,Dinamica,621
7500,1800,7273,102.178,Dinamica,543
5300,2300,6298,52.5243,Dinamica,808
8600,8300,8162,283.572,Dinamica,963
8900,3300,7763,317.113,Dinamica,447
7800,4500,7219,110.493,Dinamica,1286
5400,600,5836,51.8363,Dinamica,543
2100,9200,4044,7.38054,Dinamica,1112
2000,2500,3551,6.60924,Dinamica,1009
4300,2600,5140,33.1553,Dinamica,1626
7900,50,4400,113.872,Dinamica,50
3900,2800,5002,25.3782,Dinamica,864
10000,900,8095,474.897,Dinamica,543
600,6500,1910,0.691949,Dinamica,698
50,4900,430,0.048754,Dinamica,217
7100,1000,6459,92.1446,Dinamica,115
4600,8500,5998,40.8314,Dinamica,1489
4100,5100,5227,32.0718,Dinamica,1408
4600,9000,5807,38.4766,Dinamica,1048
5800,4600,6203,63.7155,Dinamica,115
1200,3500,2723,2.77149,Dinamica,1489
8000,4300,7330,114.931,Dinamica,829
1900,8500,4024,7.55005,Dinamica,2366
2700,9500,4933,14.4265,Dinamica,97
2300,9000,3987,11.1201,Dinamica,482
6100,6500,6031,65.7659,Dinamica,1009
600,8000,1997,1.33772,Dinamica,270
2900,1400,4388,17.3896,Dinamica,263
9800,8200,8847,448.78,Dinamica,659
50,6200,302,0.02716,Dinamica,52
4200,9900,5338,31.4319,Dinamica,1460
600,400,1997,1.00096,Dinamica,30
3500,9100,5248,24.1272,Dinamica,1110
900,10000,2353,2.0637,Dinamica,1174
4500,6800,5492,35.7074,Dinamica,1076
4600,5500,5718,39.868,Dinamica,652
6800,7200,6715,84.4141,Dinamica,515
6900,9400,6864,83.8913,Dinamica,108
9500,6400,8264,422.292,Dinamica,618
2300,1900,4001,12.0981,Dinamica,385
300,5000,1360,0.437022,Dinamica,188
8100,3000,7456,117.719,Dinamica,641
2300,6700,3663,13.6879,Dinamica,275
9100,7900,7887,328.412,Dinamica,1048
1700,3500,3237,3.77477,Dinamica,173
8600,8500,7405,281.973,Dinamica,623
8000,3600,7229,114.771,Dinamica,1433
200,9900,935,0.186328,Dinamica,320
5800,9500,6198,64.4903,Dinamica,315
2600,6500,4286,12.9318,Dinamica,210
5100,4600,5868,48.4597,Dinamica,757
7100,3200,6493,97.8312,Dinamica,336
9600,6300,7672,414.085,Dinamica,408
3000,8600,4731,17.6562,Dinamica,292
2600,1200,3952,17.2727,Dinamica,94
3200,8900,4564,19.9308,Dinamica,1086
700,4200,1939,0.925185,Dinamica,97
6200,2600,6311,70.5633,Dinamica,835
2600,2200,4713,15.4528,Dinamica,1336
500,8900,1759,0.638212,Dinamica,683
900,8500,2310,2.20925,Dinamica,39
7100,6800,6996,92.6975,Dinamica,1243
1900,8300,3710,8.52085,Dinamica,386
600,6600,2069,1.34134,Dinamica,1342
4300,1400,5553,34.0814,Dinamica,1084
1400,5500,3174,3.6946,Dinamica,2348
9800,1800,7835,446.945,Dinamica,2403
2300,2700,3442,11.2109,Dinamica,328
5200,2200,6136,49.2301,Dinamica,392
5200,6000,6188,49.6413,Dinamica,1011
6300,8400,6070,74.1666,Dinamica,207
200,8800,1489,0.16488,Dinamica,336
3000,4200,4534,16.6087,Dinamica,773
300,4600,1150,0.362669,Dinamica,602
6400,1600,6373,77.3369,Dinamica,1267
1200,3900,2760,2.96707,Dinamica,374
200,6000,1500,0.314115,Dinamica,126
6700,6100,7408,85.7011,Dinamica,1634
5500,5400,5704,52.6578,Dinamica,90
5400,5500,5733,51.1582,Dinamica,1300
50,6800,458,0.041714,Dinamica,53
4700,7000,5798,40.1742,Dinamica,275
9700,6400,7845,431.926,Dinamica,1985
3800,3700,5400,25.9695,Dinamica,1391
5100,1900,5905,48.0885,Dinamica,1062
3700,4300,5237,28.104,Dinamica,135
