n,W,b,Tiempo,Metodo,nodos
900,100,2235,4.25504,Dinamica,
1700,8200,3788,536.255,Dinamica,
3200,5400,4240,728.422,Dinamica,
5600,3600,6210,871.464,Dinamica,
7600,5600,7305,2066.29,Dinamica,
500,6700,1784,97.4646,Dinamica,
3500,7400,5308,1136.61,Dinamica,
200,2300,1143,19.1033,Dinamica,
400,300,1590,5.24144,Dinamica,
4100,1200,5182,188.439,Dinamica,
3300,6500,4988,929.718,Dinamica,
2400,7300,4138,716.606,Dinamica,
5200,4500,6187,1034.22,Dinamica,
5700,5000,6817,1267,Dinamica,
6600,9600,6962,3388.09,Dinamica,
400,9300,1330,102.199,Dinamica,
4200,2600,5164,441.583,Dinamica,
7000,9600,6570,3458.45,Dinamica,
3400,2700,4694,351.541,Dinamica,
300,10000,1430,77.0683,Dinamica,
2500,3000,4265,290.542,Dinamica,
700,9100,1940,220.759,Dinamica,
9800,7700,7973,4201.66,Dinamica,
3700,3700,5314,561.43,Dinamica,
8800,9500,8222,4678.74,Dinamica,
4500,3800,5190,721.707,Dinamica,
7700,6800,7449,2699.84,Dinamica,
7900,3500,7201,1298.69,Dinamica,
2200,5200,3749,415.206,Dinamica,
2700,2300,4242,237.122,Dinamica,
8000,300,6549,92.747,Dinamica,
900,1500,2507,44.917,Dinamica,
1900,3200,2888,212.113,Dinamica,
5600,8100,6125,2300.07,Dinamica,
2300,3700,3518,324.641,Dinamica,
2600,8100,4161,875.21,Dinamica,
200,900,913,6.80171,Dinamica,
2300,200,3816,15.0169,Dinamica,
7700,9200,6419,3975.2,Dinamica,
6400,2300,6865,649.53,Dinamica,
4100,9000,5022,1778.63,Dinamica,
8600,8800,6624,4181.49,Dinamica,
9100,3600,7668,1628.76,Dinamica,
1700,6500,3133,416.04,Dinamica,
6100,9300,5983,3000.07,Dinamica,
7100,4000,6897,1323.17,Dinamica,
8100,1900,7456,692.41,Dinamica,
1800,2400,3055,146.981,Dinamica,
1600,7300,3116,437.423,Dinamica,
9800,7500,7777,3937.4,Dinamica,
6300,9600,6243,3127.07,Dinamica,
1200,4600,2911,185.166,Dinamica,
4200,5700,5549,1051.81,Dinamica,
700,3100,1945,68.0044,Dinamica,
8700,1900,7081,753.483,Dinamica,
5200,2300,5830,494.891,Dinamica,
4100,5900,5282,1031.97,Dinamica,
3300,3000,4626,386.365,Dinamica,
3200,1400,4975,172.938,Dinamica,
3100,1300,4511,159.107,Dinamica,
8500,3000,7386,1226.06,Dinamica,
7100,100,5455,32.9923,Dinamica,
4000,1800,5131,279.167,Dinamica,
8600,4400,7435,1842.04,Dinamica,
1300,9600,3114,441.446,Dinamica,
7200,2700,6490,861.823,Dinamica,
300,7400,1449,62.4817,Dinamica,
9700,9500,8089,5341.71,Dinamica,
2900,5600,4465,620.423,Dinamica,
3000,10000,4809,1268.22,Dinamica,
200,4500,1001,23.4384,Dinamica,
2200,3600,3793,286.804,Dinamica,
3100,400,4796,47.5539,Dinamica,
3900,8900,5320,1584.34,Dinamica,
3700,7700,5039,1252.71,Dinamica,
9500,1500,7633,651.854,Dinamica,
3900,5500,5408,900.275,Dinamica,
9400,1500,7753,681.954,Dinamica,
1200,2800,3169,106.655,Dinamica,
6600,2300,6140,676.806,Dinamica,
5200,1000,5702,208.794,Dinamica,
4200,2800,4671,472.466,Dinamica,
4300,8400,5060,1672.87,Dinamica,
8100,5800,7415,2428.66,Dinamica,
1400,1100,2952,55.3856,Dinamica,
5600,9600,6187,2667.16,Dinamica,
4000,9300,5445,1777.45,Dinamica,
6600,8600,6641,2962.11,Dinamica,
1200,1200,2384,47.5196,Dinamica,
7700,6700,6607,2743.58,Dinamica,
9900,3600,9012,1840.58,Dinamica,
2000,3100,3398,219.496,Dinamica,
5600,9700,5900,2829.14,Dinamica,
9000,3300,8630,1381.33,Dinamica,
1300,8700,2685,398.861,Dinamica,
9100,5800,8130,2638.76,Dinamica,
5600,1500,5636,355.512,Dinamica,
3300,10000,3644,1637.22,Dinamica,
4000,300,4450,43.8474,Dinamica,
4200,5200,5560,914.489,Dinamica,
6200,8100,6769,2521.43,Dinamica,
4600,2900,4983,540.746,Dinamica,
4700,6000,6395,1300.05,Dinamica,
8900,200,6292,77.9858,Dinamica,
1100,4200,2459,151.172,Dinamica,
7100,5400,7338,1852.53,Dinamica,
4900,5000,6337,1051.01,Dinamica,
4500,3600,5120,662.588,Dinamica,
1300,4800,2646,210.643,Dinamica,
500,2100,1686,33.7064,Dinamica,
6300,6000,6477,1750.57,Dinamica,
6400,3700,6115,1088.58,Dinamica,
300,9100,1709,73.6634,Dinamica,
7400,2200,6899,713.9,Dinamica,
50,300,367,0.182713,Dinamica,
3200,4300,4691,541.41,Dinamica,
2100,100,2898,11.6418,Dinamica,
1500,1200,3331,61.6824,Dinamica,
8000,3700,7003,1476.3,Dinamica,
3400,8900,4990,1421.8,Dinamica,
9800,4600,9002,2427.97,Dinamica,
5800,800,5956,189.691,Dinamica,
5500,8800,6211,2451.95,Dinamica,
700,50,1957,2.46839,Dinamica,
900,7000,2351,216.734,Dinamica,
7800,3100,7594,1101.91,Dinamica,
7000,10000,6573,3751.78,Dinamica,
5800,9600,6181,2923.53,Dinamica,
9900,5900,7869,3215.5,Dinamica,
8900,2100,7657,915.978,Dinamica,
8400,300,7177,109.541,Dinamica,
7800,8800,7253,3597.27,Dinamica,
8900,2400,8729,1027.21,Dinamica,
9900,8100,7612,4491.05,Dinamica,
4400,500,5248,81.9746,Dinamica,
900,1200,2347,36.0043,Dinamica,
1800,300,3833,23.5563,Dinamica,
8700,200,6721,80.697,Dinamica,
1100,7400,2594,275.007,Dinamica,
7300,4600,7296,1622.27,Dinamica,
8800,10000,7614,5067.64,Dinamica,
7600,1900,7336,630.349,Dinamica,
7100,5600,7728,2017.48,Dinamica,
1300,500,3066,26.2598,Dinamica,
2600,4800,4037,484.288,Dinamica,
5300,8700,5349,2319.69,Dinamica,
5800,7900,6110,2324.13,Dinamica,
7500,5000,7459,1798.18,Dinamica,
4300,7800,4865,1611.24,Dinamica,
2100,8400,3555,712.784,Dinamica,
3700,1500,5050,224.538,Dinamica,
5400,5500,5733,1355.02,Dinamica,
8600,100,5513,38.8181,Dinamica,
5500,6700,6654,1772.13,Dinamica,
6600,6100,6812,1911.7,Dinamica,
5100,2000,6274,429.017,Dinamica,
400,3500,1266,40.4618,Dinamica,
6000,3600,5985,964.482,Dinamica,
9500,5700,7914,2848.97,Dinamica,
5500,9200,6177,2500.76,Dinamica,
9500,2200,8445,1013.36,Dinamica,
9100,5000,8038,2345.73,Dinamica,
4400,3900,4648,730.264,Dinamica,
5900,7100,6645,2047.73,Dinamica,
8900,5600,7208,2461.43,Dinamica,
8300,3900,7442,1583.59,Dinamica,
7900,9200,6734,4177.48,Dinamica,
7800,8100,6954,3549.38,Dinamica,
6300,3800,6787,1091.2,Dinamica,
4400,5800,5721,1124.44,Dinamica,
5600,50,3857,14.2982,Dinamica,
900,2500,2549,68.2322,Dinamica,
100,9500,715,17.6422,Dinamica,
6200,5700,6734,1694.83,Dinamica,
6100,4000,6125,1088.9,Dinamica,
6400,1500,6352,407.843,Dinamica,
5000,9000,5846,2279.09,Dinamica,
8400,7400,7501,3420.86,Dinamica,
8700,600,7261,212.028,Dinamica,
8800,9900,7086,5104.94,Dinamica,
2800,6000,4338,695.01,Dinamica,
2900,9000,4393,1108.4,Dinamica,
300,1400,1447,16.0128,Dinamica,
3400,3700,4766,491.788,Dinamica,
2800,3700,3741,401.281,Dinamica,
800,9100,2245,233.666,Dinamica,
5800,8700,5973,2460.1,Dinamica,
7500,9700,7490,3954.82,Dinamica,
8300,3600,7711,1396.57,Dinamica,
1500,7700,3212,403.836,Dinamica,
3100,8100,4977,1111.26,Dinamica,
100,5200,753,10.5866,Dinamica,
1900,3400,3418,233.137,Dinamica,
200,9600,1179,49.7247,Dinamica,
9300,9000,7818,4873.88,Dinamica,
1900,5600,3553,374.806,Dinamica,
5200,2100,5609,454.387,Dinamica,
4800,6600,5484,1447.29,Dinamica,
5700,4300,6329,1092.62,Dinamica,
6700,8600,6951,3024.01,Dinamica,
6400,2900,6832,844.705,Dinamica,
600,9900,1978,168.103,Dinamica,
8000,5600,6386,2254.78,Dinamica,
2500,5200,3812,491.283,Dinamica,
1900,8700,3518,684.559,Dinamica,
8300,6000,7591,2481.76,Dinamica,
8400,8500,7727,3855.2,Dinamica,
5200,4300,5808,970.713,Dinamica,
3000,8900,4652,1153.62,Dinamica,
7900,4000,7168,1526.68,Dinamica,
7100,1400,7157,424.082,Dinamica,
6200,5800,6555,1720.41,Dinamica,
3500,8600,4952,1453.67,Dinamica,
3200,2600,4147,322.715,Dinamica,
4200,900,5510,152.625,Dinamica,
4500,3200,5127,605.19,Dinamica,
4700,4300,6313,862.836,Dinamica,
6600,9700,6477,3249.67,Dinamica,
2300,8400,4038,795.682,Dinamica,
1400,9100,2977,514.757,Dinamica,
8600,4600,8360,2056.7,Dinamica,
6300,8500,7542,2793.21,Dinamica,
8500,7400,7537,3534.84,Dinamica,
3000,50,3051,7.86241,Dinamica,
3500,6800,5224,1050.09,Dinamica,
8500,9300,7142,4371.57,Dinamica,
4200,7400,5138,1389.36,Dinamica,
2000,2000,3642,141.363,Dinamica,
9700,7600,7881,4014.03,Dinamica,
8800,9300,7337,4643.01,Dinamica,
1400,4600,3134,215.938,Dinamica,
8200,200,6267,73.4141,Dinamica,
1100,8700,2567,360.915,Dinamica,
2500,3600,4174,333.509,Dinamica,
7400,2900,5785,968.93,Dinamica,
9300,4800,6787,2337.91,Dinamica,
1000,4700,3008,149.682,Dinamica,
3300,5100,3812,673.978,Dinamica,
9400,1700,6796,729.719,Dinamica,
9600,5400,8016,2749.76,Dinamica,
9500,700,7182,282.312,Dinamica,
9100,1300,6975,553.967,Dinamica,
4500,8700,5059,1889.31,Dinamica,
10000,8300,7532,4841.71,Dinamica,
8000,8000,7636,3549.6,Dinamica,
9100,7400,8099,3663.2,Dinamica,
4300,8100,5513,1628.12,Dinamica,
7000,2500,6843,768.868,Dinamica,
4100,9300,5001,1739.28,Dinamica,
3500,1400,4719,193.457,Dinamica,
4200,6000,5780,1099.89,Dinamica,
6700,2600,6719,806.158,Dinamica,
9600,9400,8441,5247.56,Dinamica,
5900,4500,5627,1211.67,Dinamica,
1600,6900,3011,429.374,Dinamica,
6500,3900,6007,1168.58,Dinamica,
5900,6600,6241,1946.06,Dinamica,
6100,900,6146,221.421,Dinamica,
6900,1300,6753,376.835,Dinamica,
3400,6500,4584,948.281,Dinamica,
5500,700,5690,152.763,Dinamica,
2700,50,3258,7.07857,Dinamica,
8500,6700,7812,2963.91,Dinamica,
8900,2200,7908,920.033,Dinamica,
6700,3500,6971,1076.51,Dinamica,
7900,200,6500,70.0933,Dinamica,
4000,3100,4747,495.733,Dinamica,
700,4400,1950,97.2336,Dinamica,
3700,1000,5126,141.877,Dinamica,
1800,8400,3547,565.962,Dinamica,
5400,300,5845,62.0682,Dinamica,
1700,9000,3306,599.489,Dinamica,
5600,800,6003,187.041,Dinamica,
2800,6600,4390,747.127,Dinamica,
5900,8300,6950,2448.34,Dinamica,
4800,7600,6012,1687.62,Dinamica,
1100,1100,2980,42.6662,Dinamica,
4800,6800,5706,1433.05,Dinamica,
9400,6600,7928,3225.13,Dinamica,
1600,4300,3448,230.19,Dinamica,
5300,4300,5806,992.571,Dinamica,
9600,2900,7761,1344.41,Dinamica,
2700,4600,4027,472.525,Dinamica,
1300,6900,3371,314.529,Dinamica,
900,2700,2357,75.5152,Dinamica,
9600,3800,8519,1878.36,Dinamica,
8200,8400,7246,3707.15,Dinamica,
9100,7800,8122,4128.72,Dinamica,
5800,6900,6667,1983.84,Dinamica,
1300,8400,3035,393.039,Dinamica,
7500,8000,7267,3119.5,Dinamica,
5700,3300,6592,808.375,Dinamica,
4800,4000,5305,797.652,Dinamica,
