n,W,b,Tiempo,Metodo,Nodos
32,100,549,0.087297,Backtracking_fact,5315
33,100,477,0.27642,Backtracking_fact,14320
34,100,402,0.228654,Backtracking_fact,10595
35,100,342,0.035684,Backtracking_fact,1554
36,100,554,0.35885,Backtracking_fact,30209
37,100,568,0.26089,Backtracking_fact,23957
38,100,566,0.76842,Backtracking_fact,42515
39,100,680,0.365309,Backtracking_fact,21344
40,100,650,1.89972,Backtracking_fact,95080
41,100,512,0.858437,Backtracking_fact,82668
42,100,546,0.282953,Backtracking_fact,15813
43,100,330,0.138526,Backtracking_fact,7355
44,100,670,1.36886,Backtracking_fact,107179
45,100,425,0.137264,Backtracking_fact,10662
46,100,468,0.690793,Backtracking_fact,41392
47,100,644,5.80893,Backtracking_fact,480205
48,100,531,2.44614,Backtracking_fact,219727
49,100,445,1.37952,Backtracking_fact,83214
50,100,620,2.39796,Backtracking_fact,144045
51,100,480,1.10584,Backtracking_fact,107752
52,100,531,0.677409,Backtracking_fact,41886
53,100,527,0.118011,Backtracking_fact,9709
54,100,355,1.62322,Backtracking_fact,145040
55,100,762,18.8025,Backtracking_fact,1432099
56,100,604,4.38588,Backtracking_fact,356871
57,100,580,17.221,Backtracking_fact,919586
58,100,796,8.57902,Backtracking_fact,725735
59,100,660,5.43663,Backtracking_fact,457047
60,100,631,1.97751,Backtracking_fact,164661
61,100,627,9.16118,Backtracking_fact,642444
62,100,598,4.31669,Backtracking_fact,283217
63,100,674,8.33377,Backtracking_fact,752879
64,100,683,6.05025,Backtracking_fact,522006
65,100,834,9.56489,Backtracking_fact,830299
66,100,384,2.40614,Backtracking_fact,142277
67,100,528,9.1075,Backtracking_fact,529030
68,100,464,1.50151,Backtracking_fact,130265
69,100,459,3.32605,Backtracking_fact,215413
70,100,761,3.06418,Backtracking_fact,298951
71,100,448,4.81843,Backtracking_fact,305905
72,100,485,2.30786,Backtracking_fact,152713
73,100,886,181.135,Backtracking_fact,16930577
74,100,494,5.43842,Backtracking_fact,353180
75,100,598,7.12898,Backtracking_fact,442209
76,100,915,121.272,Backtracking_fact,11589802
77,100,568,6.1954,Backtracking_fact,579416
78,100,650,5.93499,Backtracking_fact,453674
79,100,855,86.6909,Backtracking_fact,8095253
80,100,760,22.6342,Backtracking_fact,1483841
81,100,765,66.5408,Backtracking_fact,6045466
82,100,654,57.3661,Backtracking_fact,5386895
83,100,800,18.6109,Backtracking_fact,1268941
84,100,677,11.266,Backtracking_fact,1069264
85,100,779,74.6355,Backtracking_fact,6693017
86,100,735,19.7062,Backtracking_fact,1261348
87,100,680,41.8042,Backtracking_fact,3669200
88,100,808,42.5073,Backtracking_fact,3774231
89,100,465,3.85504,Backtracking_fact,297843
90,100,697,92.9596,Backtracking_fact,9163762
91,100,629,32.9416,Backtracking_fact,3159426
92,100,772,70.2678,Backtracking_fact,6220010
93,100,822,43.4583,Backtracking_fact,3628633
94,100,554,8.38217,Backtracking_fact,689236
95,100,829,47.2522,Backtracking_fact,4560311
96,100,609,6.98128,Backtracking_fact,624876
97,100,697,24.9533,Backtracking_fact,2088035
98,100,464,5.59137,Backtracking_fact,382879
99,100,554,6.58347,Backtracking_fact,372041
100,100,693,148.513,Backtracking_fact,14705201
101,100,803,34.5543,Backtracking_fact,3007011
102,100,616,38.157,Backtracking_fact,3528725
103,100,656,270.421,Backtracking_fact,24823905
104,100,974,1998.2,Backtracking_fact,184648395
105,100,944,839.244,Backtracking_fact,79479640
106,100,711,229.878,Backtracking_fact,21860480
107,100,634,111.419,Backtracking_fact,9810698
108,100,889,932.731,Backtracking_fact,86390972
109,100,696,27.7341,Backtracking_fact,2477379
110,100,1102,1114.18,Backtracking_fact,107057175
111,100,976,5234.49,Backtracking_fact,506370727
112,100,931,399.527,Backtracking_fact,38024560
