n,W,b,Tiempo,Metodo
4000,2000,5003,162.593,Dinamica
4000,2000,4634,165.195,Dinamica
5000,2000,5258,212.518,Dinamica
5000,2000,5816,205.746,Dinamica
5000,2000,6192,210.049,Dinamica
5000,2000,5617,218.174,Dinamica
5000,2000,6166,219.306,Dinamica
5000,2000,5810,209.791,Dinamica
5000,2000,6078,207.932,Dinamica
5000,2000,5079,212.445,Dinamica
5000,2000,6189,214.188,Dinamica
5000,2000,6322,204.52,Dinamica
6000,2000,6097,258.664,Dinamica
6000,2000,6087,254.501,Dinamica
6000,2000,6174,262.039,Dinamica
6000,2000,5507,266.476,Dinamica
6000,2000,4802,271.965,Dinamica
6000,2000,6746,271.186,Dinamica
6000,2000,5806,267.19,Dinamica
6000,2000,6584,280.334,Dinamica
6000,2000,6086,256.945,Dinamica
6000,2000,6699,263.723,Dinamica
7000,2000,6217,308.782,Dinamica
7000,2000,6892,311.035,Dinamica
7000,2000,7186,318.136,Dinamica
7000,2000,7126,314.336,Dinamica
7000,2000,7071,310.007,Dinamica
7000,2000,6535,311.451,Dinamica
7000,2000,6419,312.277,Dinamica
7000,2000,6294,302.879,Dinamica
7000,2000,6854,315.232,Dinamica
7000,2000,6345,309.598,Dinamica
8000,2000,7595,369.674,Dinamica
8000,2000,7421,374.352,Dinamica
8000,2000,6529,352.136,Dinamica
8000,2000,7219,372.058,Dinamica
8000,2000,6565,375.378,Dinamica
8000,2000,8016,357.741,Dinamica
8000,2000,6501,364.617,Dinamica
8000,2000,7925,361.025,Dinamica
8000,2000,7581,358.644,Dinamica
8000,2000,7028,363.003,Dinamica
9000,2000,6932,427.976,Dinamica
9000,2000,7358,397.665,Dinamica
9000,2000,7864,411.619,Dinamica
9000,2000,6747,419.113,Dinamica
9000,2000,6775,399.015,Dinamica
9000,2000,7176,411.567,Dinamica
9000,2000,7253,402.694,Dinamica
9000,2000,7312,408.085,Dinamica
9000,2000,7442,416.989,Dinamica
9000,2000,7551,395.466,Dinamica
1000,3000,2675,47.3491,Dinamica
1000,3000,2507,45.1047,Dinamica
1000,3000,2464,49.241,Dinamica
1000,3000,2603,47.5085,Dinamica
1000,3000,2483,45.0394,Dinamica
1000,3000,2353,45.6368,Dinamica
1000,3000,2676,47.4586,Dinamica
1000,3000,2321,45.0938,Dinamica
1000,3000,2830,48.3147,Dinamica
1000,3000,2349,45.9448,Dinamica
2000,3000,3663,113.58,Dinamica
2000,3000,3191,107.863,Dinamica
2000,3000,3493,110.346,Dinamica
2000,3000,3642,107.124,Dinamica
2000,3000,3630,106.461,Dinamica
2000,3000,3456,108.903,Dinamica
2000,3000,3725,107.89,Dinamica
2000,3000,3824,109.613,Dinamica
2000,3000,3500,111.401,Dinamica
2000,3000,3593,111.885,Dinamica
3000,3000,4196,178.233,Dinamica
3000,3000,4522,181.406,Dinamica
3000,3000,4707,197.119,Dinamica
3000,3000,3890,174.338,Dinamica
3000,3000,4896,178.248,Dinamica
3000,3000,4268,176.071,Dinamica
3000,3000,3705,172.543,Dinamica
3000,3000,4771,180.032,Dinamica
3000,3000,4573,183.173,Dinamica
3000,3000,4930,174.78,Dinamica
4000,3000,4843,245.687,Dinamica
4000,3000,5713,247.08,Dinamica
4000,3000,5885,241.42,Dinamica
4000,3000,5072,251.195,Dinamica
4000,3000,5389,254.396,Dinamica
4000,3000,5377,256.143,Dinamica
4000,3000,4755,256.881,Dinamica
4000,3000,4832,252.834,Dinamica
4000,3000,5245,254.993,Dinamica
4000,3000,5237,246.35,Dinamica
5000,3000,5437,335.943,Dinamica
5000,3000,5499,341.881,Dinamica
5000,3000,5144,335.832,Dinamica
5000,3000,6391,323.547,Dinamica
5000,3000,5595,334.788,Dinamica
5000,3000,6118,335.839,Dinamica
5000,3000,5357,338.033,Dinamica
5000,3000,4840,316.69,Dinamica
5000,3000,5686,323.848,Dinamica
5000,3000,5479,330.721,Dinamica
6000,3000,6249,411.784,Dinamica
6000,3000,6529,408.851,Dinamica
6000,3000,6154,401.116,Dinamica
6000,3000,5782,400.68,Dinamica
6000,3000,6809,409.173,Dinamica
6000,3000,7130,410.682,Dinamica
6000,3000,5929,388.1,Dinamica
6000,3000,6049,400.365,Dinamica
6000,3000,6805,402.724,Dinamica
6000,3000,5654,402.884,Dinamica
7000,3000,7201,490.279,Dinamica
7000,3000,6388,482.99,Dinamica
7000,3000,6619,485.488,Dinamica
7000,3000,6654,496.642,Dinamica
7000,3000,7180,484.499,Dinamica
7000,3000,6819,481.164,Dinamica
7000,3000,6519,462.904,Dinamica
7000,3000,6986,478.803,Dinamica
7000,3000,6565,473.195,Dinamica
7000,3000,6770,481.744,Dinamica
8000,3000,6742,553.339,Dinamica
8000,3000,7169,575.654,Dinamica
8000,3000,7318,575.579,Dinamica
8000,3000,6948,568.699,Dinamica
8000,3000,7347,548.914,Dinamica
8000,3000,7121,564.317,Dinamica
8000,3000,7044,555.91,Dinamica
8000,3000,7835,578.856,Dinamica
8000,3000,6837,565.44,Dinamica
8000,3000,6814,545.882,Dinamica
9000,3000,7712,640.43,Dinamica
9000,3000,7867,648.682,Dinamica
9000,3000,7428,653.362,Dinamica
9000,3000,7545,632.662,Dinamica
9000,3000,7336,645.844,Dinamica
9000,3000,7892,632.912,Dinamica
9000,3000,8113,638.527,Dinamica
9000,3000,7054,632.281,Dinamica
